Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,,"1004795",TopLayer,75.5011,30.8974,270
C1,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,45.65,26.125,0
C3,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,45.65,25.025,0
C17,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,30.2448,39.2831,0
C25,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,27.5448,39.7581,270
C31,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,28.4698,39.7581,90
C13,100NF-0402-50V,CL05B104KB54PNC,TopLayer,14.025,8.075,90
C50,100NF-0402-50V,CL05B104KB54PNC,TopLayer,16.925,4.2,180
C14,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,16.275,8.1,180
C15,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,19.0,7.175,270
C49,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,20.875,7.175,270
C19,100PF-0201-50V,GRM0335C1H101JA01D,TopLayer,12.2,8.6,180
C2,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,45.9,24.15,0
C4,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,48.975,32.875,270
C7,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,48.975,19.075,90
C9,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,63.925,14.525,180
C10,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,62.525,14.525,0
C16,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,34.3448,44.7331,180
C18,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,29.6948,40.4934,90
C20,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,31.0448,46.6331,270
C21,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,25.55,8.6,180
C22,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,44.0,30.4,90
